_id,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
650,F150040641,131,Passenger vehicle fire,"TESLA ST & KILBOURNE ST, PITTSBURGH PA 15207",2015-05-28T05:27:28,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4137112295502,-79.9322931249867
651,F150040658,111,Building fire,"800 BLOCK MONTEIRO ST, PITTSBURGH PA 15207",2015-05-28T07:36:46,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,2-15,40.4264928613014,-79.9358807144999
652,F150040835,140,"Natural vegetation fire, Other","FORBES AVE & MCDEVITT PL, PITTSBURGH PA 15213",2015-05-28T18:26:21,0,231EN10,409,South Oakland,6,4,42003040900,3,4,4,2-10,40.4364731580528,-79.9639980327867
653,F150041184,131,Passenger vehicle fire,"REEDSDALE ST & ART ROONEY A, PITTSBURGH PA 15233",2015-05-29T20:32:39,0,231EN37,2205,,,,,,,,1-7,,
654,F150041198,151,"Outside rubbish, trash or waste fire","100 BLOCK PARKFIELD ST, PITTSBURGH PA 15210",2015-05-29T22:15:04,0,231EN23,2904,Carrick,4,29,42003290400,4,29,3,4-23,40.3912523349352,-79.987341412057
655,F150041217,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2015-05-30T00:32:07,3,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4086117379788,-79.9431350789525
656,F150041221,111,Building fire,"3300 BLOCK OREGON ST, PITTSBURGH PA 15206",2015-05-30T00:59:18,3,231EN31,2017,Esplen,2,20,42003562500,5,20,6,1-27,40.4615868570983,-80.0533752857123
657,F150041307,131,Passenger vehicle fire,"2600 BLOCK S 18TH ST, PITTSBURGH PA 15120",2015-05-30T11:35:21,0,231EN22,1706,South Side Slopes,3,17,42003170600,4,17,3,4-6,40.4211035960711,-79.9853171763824
658,F140020302,111,Building fire,"100 BLOCK RHINE CT, PITTSBURGH PA 15212",2014-03-19T01:04:08,1,231EN38,2620,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.4673208442143,-79.994655665831
659,F150041323,151,"Outside rubbish, trash or waste fire","700 BLOCK MERCER ST, PITTSBURGH PA 15219",2015-05-30T12:42:44,0,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.4444287587868,-79.9872915237753
660,F150041424,154,Dumpster or other outside trash receptacle fire,"1300 BLOCK HOPKINS ST, PITTSBURGH PA 15233",2015-05-30T18:02:24,0,231EN37,2107,Manchester,6,21,42003210700,1,21,1,1-8,40.451008492896,-80.0245072830146
661,F150041531,113,"Cooking fire, confined to container","6400 BLOCK FORBES AVE, PITTSBURGH PA 15217",2015-05-31T02:22:45,1,231EN12,1408,Squirrel Hill North,5,14,42003140300,3,14,4,2-18,40.4380944988209,-79.9176786748449
662,F140020306,118,"Trash or rubbish fire, contained","1800 BLOCK MARY ST, PITTSBURGH PA 15203",2014-03-19T01:36:00,1,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,4-24,40.4260072950359,-79.9807931538583
663,F150041625,113,"Cooking fire, confined to container","7400 BLOCK MONTICELLO ST, PITTSBURGH PA 15208",2015-05-31T14:10:53,1,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,3-17,40.4583136296126,-79.8910126418544
664,F160020709,118,"Trash or rubbish fire, contained","4800 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15201",2016-03-17T15:37:59,1,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,3-6,40.4612637558242,-79.9463627978595
665,F160020795,130,"Mobile property (vehicle) fire, Other","100 BLOCK WATSON BLVD, PITTSBURGH PA 15214",2016-03-17T20:31:27,0,231EN34,2607,Perry North,1,26,42003260700,1,26,1,1-15,40.480351496504,-80.0100996016035
666,F160020841,131,Passenger vehicle fire,"BEDFORD AVE & WATT LN, PITTSBURGH PA 15219",2016-03-18T04:44:11,0,231EN10,509,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.4508137262887,-79.9722433745368
667,F160020887,113,"Cooking fire, confined to container","100 BLOCK N CRAIG ST, PITTSBURGH PA 15213",2016-03-18T09:08:22,1,231EN10,404,North Oakland,8,4,42003040400,3,4,4,2-9,40.4469088115691,-79.9490960010111
668,F160020906,111,Building fire,"4500 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",2016-03-18T09:54:42,1,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,3-6,40.4657852525147,-79.9521991590324
669,F140020325,163,Outside gas or vapor combustion explosion,"2300 BLOCK PREBLE AVE, PITTSBURGH PA 15233",2014-03-19T07:09:40,0,231EN35,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,1-14,40.4632810824081,-80.0352423995555
670,F150042196,151,"Outside rubbish, trash or waste fire","2200 BLOCK GLENBURY ST, PITTSBURGH PA 15226",2015-06-02T21:00:18,0,231EN26,3207,Overbrook,4,32,42003320600,4,32,3,4-25,40.3883355614505,-80.0042788637335
671,F150042204,140,"Natural vegetation fire, Other","1800 BLOCK MARMADUKE ST, PITTSBURGH PA 15212",2015-06-02T21:47:11,0,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.4836203963711,-80.0419418105201
672,F150042219,131,Passenger vehicle fire,"700 BLOCK ALLEGHENY AVE, PITTSBURGH PA 15233",2015-06-03T00:12:53,0,231EN37,2108,Allegheny West,1,22,42003562700,1,22,1,1-8,40.4497156390243,-80.0182476120753
673,F150042225,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2015-06-03T01:55:17,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4086117379788,-79.9431350789525
674,F150042377,155,Outside stationary compactor/compacted trash fire,"ARMOUR WAY & EUREKA ST, PITTSBURGH PA 15211",2015-06-03T15:07:39,0,231EN24,1807,Mount Washington,3,18,42003180700,5,18,3,4-5,40.4239050530305,-80.0033883913345
675,F150042417,113,"Cooking fire, confined to container","1100 BLOCK DAVIS AVE, PITTSBURGH PA 15212",2015-06-03T17:45:48,1,231EN35,2708,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.4817230207272,-80.0311499897259
676,F150042533,111,Building fire,"00 BLOCK VESPUCIUS ST, PITTSBURGH PA 15207",2015-06-04T04:46:41,1,231EN13,1501,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4012861132337,-79.9408124324844
677,F150042537,111,Building fire,"00 BLOCK ALLEN ST, PITTSBURGH PA 15210",2015-06-04T05:54:47,1,231EN27,1803,Allentown,3,18,42003180300,4,18,3,4-5,40.4242133094868,-79.993959948978
678,F150042666,131,Passenger vehicle fire,"700 BLOCK I376 MILEMARKER EB, PITTSBURGH PA 15217",2015-06-04T13:11:05,0,231EN12,1414,Squirrel Hill South,5,14,42003141400,3,14,4,2-21,40.427214432245,-79.9210675024592
679,F140035862,142,Brush or brush-and-grass mixture fire,"YOUGHIOGHENY ST & MIDDLETOW, PITTSBURGH PA 15204",2014-05-21T15:51:26,0,231EN31,2807,,,,,,,,1-16,,
1573,F160062557,111,Building fire,"1000 BLOCK WALLACE AVE, WILKINSBURG PA 15221",2016-08-11T04:45:30,1,231EN16,NA,,,,42003561100,,,,3-20,40.4425027373315,-79.8788416293665
680,F150042703,151,"Outside rubbish, trash or waste fire","1200 BLOCK HIGH ST, PITTSBURGH PA 15204",2015-06-04T15:29:36,1,231EN32,2412,Spring Garden,1,24,42003241200,1,24,1,1-5,40.460633282878,-79.9916361308195
681,F150021209,151,"Outside rubbish, trash or waste fire","100 BLOCK LECKY AVE, PITTSBURGH PA 15212",2015-03-18T13:04:22,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.4730028589913,-80.0353399941069
682,F150021236,131,Passenger vehicle fire,"N LEXINGTON ST & MEADE ST, PITTSBURGH PA 15208",2015-03-18T14:56:26,0,231EN17,1405,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.4495370722815,-79.8991657602513
683,F160021326,130,"Mobile property (vehicle) fire, Other","100 BLOCK MAXWELL WAY, PITTSBURGH PA 15206",2016-03-19T20:36:31,0,231EN15,1204,Larimer,9,12,42003120400,2,12,5,3-12,40.4659418547188,-79.9126880899878
684,F160021503,113,"Cooking fire, confined to container","2600 BLOCK CENTRE AVE, PITTSBURGH PA 15213",2016-03-20T14:55:08,1,231EN10,501,Middle Hill,6,5,42003050100,3,5,2,2-5,40.4465330017294,-79.9684168662163
685,F160021505,111,Building fire,"7000 BLOCK LEMINGTON AVE, PITTSBURGH PA 15206",2016-03-20T15:07:19,1,231EN15,1201,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-18,40.4713581155135,-79.898240002335
686,F160021571,151,"Outside rubbish, trash or waste fire","4500 BLOCK MARINA DR, PITTSBURGH PA 15120",2016-03-20T21:23:14,0,231EN13,3103,New Homestead,5,31,42003310300,3,31,4,4-20,40.3850185642149,-79.9180895291814
687,F160021800,111,Building fire,"00 BLOCK ALLEGHENY AVE, PITTSBURGH PA 15233",2016-03-21T19:06:47,1,231EN37,2108,Allegheny West,1,22,42003562700,1,22,1,1-8,40.4506299631587,-80.0185344355501
688,F150021582,150,"Outside rubbish fire, Other","BIGELOW TO SEVENTH RMPP & C, PITTSBURGH PA 15219",2015-03-20T00:17:55,0,231EN04,201,,,,,,,,2-4,,
689,F160021818,160,"Special outside fire, Other","4100 BLOCK GLADSTONE ST, PITTSBURGH PA 15207",2016-03-21T20:59:31,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,2-12,40.4236564473166,-79.9457408045605
690,F160021988,131,Passenger vehicle fire,"7000 BLOCK APPLE AVE, PITTSBURGH PA 15206",2016-03-22T13:50:56,0,231EN15,1202,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.4645120495553,-79.8997399602309
691,F150021924,131,Passenger vehicle fire,"BRANCHPORT ST & BEAVER AVE, PITTSBURGH PA 15233",2015-03-21T14:41:12,0,231EN37,2108,Chateau,6,21,42003980600,1,21,1,1-8,40.4592880148641,-80.0309965356487
692,F150022169,111,Building fire,"00 BLOCK VOLK WAY, PITTSBURGH PA 15220",2015-03-22T15:55:28,1,231EN27,1903,Mount Washington,2,19,42003190300,5,19,3,4-27,40.4315246623109,-80.0105088219659
693,F150022189,150,"Outside rubbish fire, Other","2900 BLOCK STAFFORD ST, PITTSBURGH PA 15204",2015-03-22T17:35:32,0,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,1-16,40.456759418826,-80.0504193996771
694,F150022212,151,"Outside rubbish, trash or waste fire","5600 BLOCK PHILLIPS AVE, PITTSBURGH PA 15217",2015-03-22T19:52:58,0,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.4309809399069,-79.9273812102026
695,F150042820,111,Building fire,"1300 BLOCK DIANA ST, PITTSBURGH PA 15204",2015-06-05T00:58:42,1,231EN32,2620,Spring Hill-City View,1,24,42003241200,1,24,1,1-24,40.4618160925156,-79.990556791099
696,F150042982,162,Outside equipment fire,"1500 BLOCK BROWNSVILLE RD, PITTSBURGH PA 15210",2015-06-05T14:09:05,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,4-12,40.4003679421445,-79.9892214961315
697,F140036592,150,"Outside rubbish fire, Other","S TRENTON AVE & FRANKLIN AVE, PITTSBURGH PA 15221",2014-05-24T17:27:24,0,231EN16,NA,,,,42003560400,,,,3-16,40.4433759423283,-79.8923755617225
698,F140056823,111,Building fire,"1600 BLOCK MONTIER ST, PITTSBURGH PA 15221",2014-08-08T19:06:59,1,231EN16,NA,,,,42003561400,,,,3-20,40.4461031363503,-79.8709053520999
699,F150043042,150,"Outside rubbish fire, Other","E ST & LAREDA ST, PITTSBURGH PA 15212",2015-06-05T16:49:05,0,231EN32,2620,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.4624185317888,-79.9988944925032
700,F150043135,100,"Fire, Other","700 BLOCK BELL AVE, PITTSBURGH PA 15205",2015-06-05T21:50:37,1,231EN29,2805,,,,42003465800,,,,1-19,40.4323390699228,-80.0651798699041
701,F150043150,118,"Trash or rubbish fire, contained","00 BLOCK 43RD ST, PITTSBURGH PA 15201",2015-06-05T23:18:30,1,231EN06,901,Central Lawrenceville,7,9,42003090100,2,9,2,3-3,40.4738658578656,-79.9646790992233
702,F150043454,113,"Cooking fire, confined to container","1200 BLOCK BRIGHTON RD, PITTSBURGH PA 15212",2015-06-07T07:37:26,1,231EN37,2206,Central Northside,1,22,42003220600,1,22,1,1-21,40.4546149472884,-80.0148543147913
703,F140020404,113,"Cooking fire, confined to container","500 BLOCK DORNESTIC ST, PITTSBURGH PA 15212",2014-03-19T11:57:52,1,231EN38,2602,Perry North,1,26,42003260200,1,26,1,1-15,40.4905324794524,-80.0253293581221
704,F140020514,113,"Cooking fire, confined to container","100 BLOCK W ELIZABETH ST, PITTSBURGH PA 15207",2014-03-19T21:18:54,1,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4068652966906,-79.9449488325203
705,F140020526,154,Dumpster or other outside trash receptacle fire,"1000 BLOCK LANGTRY ST, PITTSBURGH PA 15212",2014-03-19T22:21:26,0,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.4782069527163,-80.0272851122562
706,F140020597,130,"Mobile property (vehicle) fire, Other","3200 BLOCK S WATER ST, PITTSBURGH PA 15203",2014-03-20T10:11:40,0,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,4-24,40.4247806879034,-79.9597616363716
707,F150043533,111,Building fire,"SLOPE ST & STADIUM ST, PITTSBURGH PA 15204",2015-06-07T15:08:12,2,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,1-16,40.4595520634876,-80.0581210137819
708,F150043544,151,"Outside rubbish, trash or waste fire","WALDECK ST & SYLVAN AVE, PITTSBURGH PA 15207",2015-06-07T16:03:15,0,231EN12,1501,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42491222798,-79.9510369863289
709,F150043614,142,Brush or brush-and-grass mixture fire,"2400 BLOCK VODELI ST, PITTSBURGH PA 15226",2015-06-07T21:39:30,0,231EN26,1920,Beechview,4,19,42003192000,5,19,6,4-28,40.4002892326368,-80.0280289954523
710,F150043797,113,"Cooking fire, confined to container","2400 BLOCK SARAH ST, PITTSBURGH PA 15203",2015-06-08T14:42:44,1,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,4-24,40.4272225442515,-79.9714072502308
711,F150043809,113,"Cooking fire, confined to container","800 BLOCK MT PLEASANT RD, PITTSBURGH PA 15212",2015-06-08T15:27:03,1,231EN03,2609,Northview Heights,1,26,42003260900,1,26,1,1-13,40.4757439823247,-79.9994730748032
712,F150043822,131,Passenger vehicle fire,"1700 BLOCK RUTLEDGE ST, PITTSBURGH PA 15211",2015-06-08T16:27:35,0,231EN27,1911,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.4405395824321,-80.0262702930129
713,F150043904,113,"Cooking fire, confined to container","5800 BLOCK PIERCE ST, PITTSBURGH PA 15223",2015-06-08T21:53:58,1,231EN08,705,Shadyside,8,7,42003070500,2,7,4,3-11,40.4567981172056,-79.9310687540612
714,F150043956,160,"Special outside fire, Other","8100 BLOCK FRANKSTOWN AVE, PITTSBURGH PA 15206",2015-06-09T05:59:34,0,231EN17,1306,East Hills,9,13,42003130600,2,13,5,3-17,40.4552368573627,-79.8833560459703
715,F150043982,131,Passenger vehicle fire,"GOULD AVE & EAST ST, PITTSBURGH PA 15214",2015-06-09T08:31:02,0,231EN34,2602,Perry North,1,26,42003260200,1,26,1,1-15,40.487817599652,-80.012069315258
716,F150044026,151,"Outside rubbish, trash or waste fire","KIRKWOOD ST & N WHITFIELD S, PITTSBURGH PA 15206",2015-06-09T11:26:46,0,231EN08,1115,East Liberty,9,11,42003111500,2,11,5,3-8,40.4622814367402,-79.9253834691316
717,F150044390,111,Building fire,"3300 BLOCK WEBSTER AVE, PITTSBURGH PA 15219",2015-06-10T17:53:55,1,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,2-5,40.4528345213922,-79.9645120941768
718,F150044910,113,"Cooking fire, confined to container","4400 BLOCK CENTRE AVE, PITTSBURGH PA 15219",2015-06-12T13:03:11,1,231EN10,507,North Oakland,8,4,42003562000,3,4,4,2-23,40.4511779478131,-79.953579312914
719,F140020661,142,Brush or brush-and-grass mixture fire,"400 BLOCK SALINE ST, PITTSBURGH PA 15207",2014-03-20T14:52:56,0,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,2-12,40.4274603148302,-79.9467811820232
720,F150045027,151,"Outside rubbish, trash or waste fire","TONY DORSETT DR & W GENERAL, PITTSBURGH PA 15212",2015-06-12T18:25:21,0,231EN32,2205,,,,,,,,1-7,,
721,F150045308,111,Building fire,"2700 BLOCK ZEPHYR AVE, PITTSBURGH PA 15204",2015-06-13T19:16:44,2,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,1-16,40.4530680300925,-80.0493430223843
722,F150045791,111,Building fire,"00 BLOCK BRIGGS ST, PITTSBURGH PA 15226",2015-06-15T02:39:47,1,231EN23,3207,Overbrook,4,32,42003320700,4,32,3,4-25,40.3849154303634,-79.9966777299471
723,F150046087,113,"Cooking fire, confined to container","300 BLOCK FLOWERS AVE, PITTSBURGH PA 15207",2015-06-15T17:54:47,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4108583220798,-79.9405601290395
724,F150046545,111,Building fire,"6000 BLOCK ST MARIE ST, PITTSBURGH PA 15206",2015-06-17T01:00:40,1,231EN08,1113,East Liberty,9,11,42003111300,2,11,5,3-8,40.4688961852122,-79.9213650944123
725,F150022299,118,"Trash or rubbish fire, contained","600 BLOCK WOOD ST, PITTSBURGH PA 15219",2015-03-23T09:31:04,1,231EN03,201,Central Business District,6,2,42003020100,6,2,2,1-3,40.4420920520399,-79.9994235123991
726,F150022400,142,Brush or brush-and-grass mixture fire,"600 BLOCK DORNBUSH ST, PITTSBURGH PA 15221",2015-03-23T16:25:29,0,231EN17,1306,East Hills,9,13,42003130600,2,13,5,3-17,40.4525263375552,-79.8764128355445
727,F150022424,114,"Chimney or flue fire, confined to chimney or flue","1000 BLOCK SHEFFIELD ST, PITTSBURGH PA 15233",2015-03-23T17:52:41,1,231EN37,2107,Manchester,6,22,42003210700,1,22,1,1-8,40.4541033184564,-80.0197957525676
728,F160022053,160,"Special outside fire, Other","1400 BLOCK FIRTH ST, PITTSBURGH PA 15212",2016-03-22T17:08:09,1,231EN32,2620,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.4622384651282,-79.9883939488829
729,F160022070,131,Passenger vehicle fire,"100 BLOCK CEDARBROOK DR, PITTSBURGH PA 15220",2016-03-22T18:13:12,1,231EN30,2815,Crafton Heights,2,28,42003281500,5,28,6,1-17,40.4414114159442,-80.0497508451833
730,F160022370,113,"Cooking fire, confined to container","200 BLOCK LOTHROP ST, PITTSBURGH PA 15213",2016-03-23T19:11:09,1,231EN10,402,West Oakland,8,4,42003040200,3,4,4,2-14,40.4417301226183,-79.9610934428959
731,F160022397,131,Passenger vehicle fire,"2100 BLOCK ROSE ST, PITTSBURGH PA 15219",2016-03-23T21:22:50,0,231EN04,501,Terrace Village,6,5,42003051100,3,5,2,2-1,40.4439198035521,-79.9766778671107
732,F160022402,140,"Natural vegetation fire, Other","900 BLOCK PENN AVE, PITTSBURGH PA 15219",2016-03-23T21:34:02,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,1-3,40.4436106989761,-79.9980435616025
733,F160022425,113,"Cooking fire, confined to container","300 BLOCK MEYRAN AVE, PITTSBURGH PA 15213",2016-03-23T23:45:36,1,231EN10,405,Central Oakland,3,4,42003040500,3,4,4,2-14,40.4389437942784,-79.9567029877009
734,F160022432,118,"Trash or rubbish fire, contained","OPHELIA ST & KENNETT SQ, PITTSBURGH PA 15213",2016-03-24T00:43:07,1,231EN10,409,South Oakland,3,4,42003040900,3,4,4,2-10,40.4343339534389,-79.9613908270366
735,F160022557,143,Grass fire,"500 BLOCK KNOLL ST, PITTSBURGH PA 15212",2016-03-24T13:07:40,0,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,1-6,40.4574379643285,-80.0018936201697
736,F140039114,111,Building fire,"7500 BLOCK BENNETT ST, PITTSBURGH PA 15208",2014-06-02T21:03:58,1,231EN17,1304,Homewood South,9,13,42003130400,2,13,5,3-17,40.4552758497898,-79.8922041311512
737,F140039310,111,Building fire,"7700 BLOCK ALSACE ST, PITTSBURGH PA 15208",2014-06-03T16:45:13,1,231EN17,1304,Homewood South,9,13,42003130400,2,13,5,3-17,40.4515429388839,-79.8897767461294
738,F150047309,151,"Outside rubbish, trash or waste fire","LYTLE ST & COURTLAND ST, PITTSBURGH PA 15207",2015-06-19T14:38:32,0,231TK13,1501,Hazelwood,5,15,42003562900,3,15,4,2-13,40.405166082984,-79.9449755544008
739,F150047487,111,Building fire,"800 BLOCK MT PLEASANT RD, PITTSBURGH PA 15241",2015-06-20T09:29:59,1,231EN38,2609,Northview Heights,1,26,42003260900,1,26,1,1-13,40.4757439823247,-79.9994730748032
740,F150047739,111,Building fire,"1100 BLOCK GOETTMAN ST, PITTSBURGH PA 15212",2015-06-21T04:53:37,3,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,1-2,40.4581801354616,-79.9919531844488
741,F150047988,151,"Outside rubbish, trash or waste fire","1600 BLOCK OAKHURST ST, PITTSBURGH PA 15210",2015-06-21T22:09:59,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,4-23,40.3997654952514,-79.991111430668
742,F150048203,142,Brush or brush-and-grass mixture fire,"1500 BLOCK NAPOLEON ST, PITTSBURGH PA 15216",2015-06-22T16:25:43,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,4-28,40.4122052857264,-80.0293706777839
743,F150048235,113,"Cooking fire, confined to container","5900 BLOCK DOUGLAS ST, PITTSBURGH PA 15217",2015-06-22T17:58:56,1,231EN19,1408,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.4331084496628,-79.9197811451903
744,F150048254,111,Building fire,"5100 BLOCK LYTLE ST, PITTSBURGH PA 15207",2015-06-22T19:05:36,1,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,2-13,40.4066876340593,-79.9453872507027
745,F130014099,131,Passenger vehicle fire,"1400 BLOCK ELM ST, PITTSBURGH PA 15221",2013-02-26T23:33:22,0,231EN16,NA,,,,42003561200,,,,3-16,40.4465478334556,-79.8813602576023
746,F140039618,111,Building fire,"7300 BLOCK HAMILTON AVE, PITTSBURGH PA 15221",2014-06-04T18:49:15,1,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,3-17,40.4540165201796,-79.8956442924001
747,F150048316,142,Brush or brush-and-grass mixture fire,"00 BLOCK RENOVA ST, PITTSBURGH PA 15207",2015-06-22T22:59:05,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4001929016654,-79.9398014298971
748,F150048328,100,"Fire, Other","1500 BLOCK RUTHERFORD AVE, PITTSBURGH PA 15216",2015-06-23T00:06:52,1,231EN28,1916,Beechview,4,19,42003191600,5,19,6,4-28,40.4128678724025,-80.0268726540941
749,F150048347,111,Building fire,"100 BLOCK HORNADAY RD, PITTSBURGH PA 15210",2015-06-23T04:19:27,1,231EN23,2902,Carrick,4,29,42003290200,4,29,3,4-12,40.3945115985331,-79.985739178272
750,F150048470,118,"Trash or rubbish fire, contained","5200 BLOCK UNIVERSITY DRIVE C DR, PITTSBURGH PA 15213",2015-06-23T12:57:04,1,231EN10,510,North Oakland,8,4,42003982200,3,4,4,2-7,40.4450513561686,-79.9571689707428
751,F150048588,113,"Cooking fire, confined to container","200 BLOCK KENNEDY AVE, PITTSBURGH PA 15214",2015-06-23T17:30:15,1,231EN38,2615,Perry South,1,26,42003261500,1,26,1,1-23,40.4742599374282,-80.0105327059984
752,F150048779,111,Building fire,"700 BLOCK CEDAR AVE, PITTSBURGH PA 15212",2015-06-24T12:18:45,1,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,1-20,40.4529885844484,-80.001516775537
753,F150049013,131,Passenger vehicle fire,"HABERMAN AVE & KATHLEEN ST, PITTSBURGH PA 15210",2015-06-25T08:30:36,0,231EN27,1807,Mount Washington,3,18,42003180700,4,18,3,4-5,40.4255694862077,-80.0026274506482
754,F150049238,160,"Special outside fire, Other","100 BLOCK 48TH ST, PITTSBURGH PA 15201",2015-06-26T02:38:20,0,231EN07,901,Central Lawrenceville,7,9,42003090100,2,9,2,3-5,40.4771881390562,-79.9594821713359
755,F150049350,131,Passenger vehicle fire,"3200 BLOCK NIAGARA ST, PITTSBURGH PA 15219",2015-06-26T11:54:06,0,231EN10,409,South Oakland,3,4,42003040900,3,4,4,2-10,40.4338915428029,-79.960377840952
756,F150049397,113,"Cooking fire, confined to container","2400 BLOCK PENN AVE, PITTSBURGH PA 15222",2015-06-26T14:04:57,1,231EN03,203,Strip District,7,2,42003020300,6,2,2,2-25,40.4534149751181,-79.9801935257323
757,F140040530,154,Dumpster or other outside trash receptacle fire,"3200 BLOCK DAWSON ST, PITTSBURGH PA 15213",2014-06-08T00:43:34,0,231EN10,409,South Oakland,3,4,42003040900,3,4,4,2-11,40.4299129565834,-79.9539839796714
758,F150049551,111,Building fire,"100 BLOCK SANTRON AVE, PITTSBURGH PA 15210",2015-06-26T23:40:21,2,231EN23,2904,Carrick,4,29,42003290400,4,29,3,4-23,40.3904893442629,-79.9875900779925
759,F150049576,113,"Cooking fire, confined to container","1600 BLOCK FALCK AVE, PITTSBURGH PA 15212",2015-06-27T05:16:48,1,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.478449085862,-80.0388790537802
760,F140020906,111,Building fire,"1600 BLOCK WESTMORELAND AVE, PITTSBURGH PA 15206",2014-03-21T15:35:19,1,231EN15,1202,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.4694988950793,-79.8921389710336
761,F140021033,113,"Cooking fire, confined to container","2000 BLOCK STRAUBS LN, PITTSBURGH PA 15212",2014-03-22T05:54:17,1,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,1-2,40.4681642131085,-79.9809309599321
762,F140021099,113,"Cooking fire, confined to container","6200 BLOCK HUNTRESS ST, PITTSBURGH PA 15206",2014-03-22T13:36:50,1,231EN08,1113,East Liberty,9,11,42003111300,2,11,5,3-8,40.4672824533118,-79.9185024933574
763,F150049683,113,"Cooking fire, confined to container","1400 BLOCK STRAKA ST, PITTSBURGH PA 15204",2015-06-27T13:17:31,1,231EN31,2814,Crafton Heights,2,28,42003281400,5,28,6,1-16,40.4484371855442,-80.0604319327417
764,F150049942,100,"Fire, Other","1400 BLOCK W NORTH AVE, PITTSBURGH PA 15233",2015-06-28T08:03:00,1,231EN37,2107,Manchester,6,21,42003210700,1,21,1,1-8,40.4522483033271,-80.0258014764365
765,F150049995,131,Passenger vehicle fire,"1600 BLOCK SANDUSKY CT, PITTSBURGH PA 15212",2015-06-28T13:52:20,0,231EN38,2509,Central Northside,6,25,42003220600,1,25,1,1-10,40.4589325773691,-80.0054475381166
766,F150050069,154,Dumpster or other outside trash receptacle fire,"MARION ST & FORBES AVE, PITTSBURGH PA 15219",2015-06-28T22:19:15,0,231EN04,103,Bluff,6,1,42003010300,3,1,2,2-4,40.4376149748414,-79.9842085879752
767,F150050073,111,Building fire,"900 BLOCK WASHINGTON BLVD, PITTSBURGH PA 15206",2015-06-28T22:46:52,1,231EN15,1208,Larimer,9,12,42003120800,2,12,5,3-12,40.4600112315306,-79.9071906116461
